Age_Range,2022,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
.40 to 44 years,"21,427","22,108","23,046","23,652","23,799","24,387","24,470","23,639","23,073",22474,22735,22872,22810,22523,22195,21960,21888
.45 to 49 years,"19,624","20,441","21,995","22,965","23,603","23,786","24,394","24,500","23,694",23144,22559,22830,22975,22919,22639,22317,22086
.50 to 54 years,"20,808","19,905","20,131","21,689","22,689","23,356","23,574","24,200","24,329",23553,23021,22454,22735,22888,22842,22570,22256
.55 to 59 years,"20,967","20,151","19,447","19,708","21,272","22,298","22,994","23,251","23,899",24058,23322,22817,22277,22573,22740,22708,22451
.60 to 64 years,"21,118","20,993","19,463","18,827","19,138","20,702","21,753","22,479","22,782",23456,23652,22968,22500,21996,22312,22500,22488
.65 to 69 years,"18,631","19,610","19,890","18,500","17,947","18,308","19,856","20,926","21,677",22032,22729,22967,22347,21925,21467,21807,22018
.70 to 74 years,"15,157","16,332","18,099","18,409","17,194","16,736","17,142","18,647","19,716",20478,20884,21597,21878,21338,20976,20581,20946
.75 to 79 years,"10,861","12,639","14,401","16,015","16,363","15,364","15,014","15,463","16,882",17924,18679,19135,19847,20175,19739,19453,19143
.80 to 84 years,"6,660","7,698","10,234","11,726","13,114","13,474","12,743","12,510","12,988",14245,15214,15923,16416,17091,17457,17154,16960
.85 to 89 years,"3,906","4,237","5,339","7,164","8,286","9,346","9,678","9,244","9,134",9596,10600,11426,12036,12530,13117,13495,13348
.90 to 94 years,"1,909","2,032","2,314","2,959","4,027","4,723","5,392","5,645","5,471",5454,5833,6510,7114,7563,7987,8427,8764
.95 to 99 years,582,672,773,899,"1,174","1,630","1,949","2,261","2,403",2375,2397,2629,2976,3316,3570,3847,4102
.100 years and over,89,107,134,158,189,252,357,440,519,561,573,583,663,761,872,948,1055
